This file is created using RaceChrono v9.1.3 ( http://racechrono.com/ ).
Format,3
Session title,"Barber Motorsports Park"
Session type,Lap timing
Track name,"Barber Motorsports Park"
Driver name,
Created,21/02/2026,22:12
Note,

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_battery_level,device_update_rate,fix_type,latitude,longitude,satellites,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation
unix time,,,s,m,m,m,deg,%,Hz,,deg,deg,sats,m/s,G,Hz,G,deg,G,m/s,Hz,G,G,G,Hz,deg/s,deg/s,deg/s
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,calc,calc,calc,calc,calc,calc,101: acc,101: acc,101: acc,101: acc,102: gyro,102: gyro,102: gyro,102: gyro
1771711959.12,0,,0.04,0.0,0.919,197.205,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.014,0.00199,20.0,0.0,0.0,-0.00199,0.0154,25.0,0.04803,-0.04997,0.97097,25.0,-1.62,1.18,0.23
1771711959.13,0,,0.05,0.0,0.91875,197.20625,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.014,0.00196,20.0,0.0,0.0,-0.00196,0.014,25.0,0.04828,-0.04974,0.97072,25.0,-1.615,1.18,0.23
1771711959.16,0,,0.08,0.0,0.918,197.21,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.014,0.00168,20.0,0.0,0.0,-0.00168,0.0119,25.0,0.04905,-0.04905,0.96995,25.0,-1.6,1.18,0.23
1771711959.18,0,,0.1,0.0,0.917,197.2105,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.0105,0.0015,20.0,0.0,0.0,-0.0015,0.0105,25.0,0.04905,-0.04803,0.96995,25.0,-1.61,1.18,0.235
1771711959.2,0,,0.12,0.0,0.916,197.211,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.007,0.00138,20.0,0.0,0.0,-0.00138,0.0154,25.0,0.04905,-0.04701,0.96995,25.0,-1.62,1.18,0.24
1771711959.23,0,,0.15,0.0,0.91525,197.211,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.02275,0.0012,20.0,0.0,0.0,-0.0012,0.02275,25.0,0.04905,-0.04777,0.96995,25.0,-1.635,1.18,0.2475
1771711959.24,0,,0.16,0.0,0.915,197.211,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.028,0.0011,20.0,0.0,0.0,-0.0011,0.0218,25.0,0.04905,-0.04803,0.96995,25.0,-1.64,1.18,0.25
1771711959.28,0,,0.2,0.0,0.914,197.227,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.018,0.00071,20.0,0.0,0.0,-0.00071,0.018,25.0,0.04905,-0.04905,0.96904,25.0,-1.64,1.18,0.24
1771711959.32,0,,0.24,0.0,0.912,197.22,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.017,0.00043,20.0,0.0,0.0,-0.00043,0.017,25.0,0.04905,-0.04997,0.96995,25.0,-1.64,1.18,0.24
1771711959.33,0,,0.25,0.0,0.91175,197.21775,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.01675,0.00037,20.0,0.0,0.0,-0.00037,0.01675,25.0,0.04905,-0.04974,0.96995,25.0,-1.6375,1.18,0.24
1771711959.36,0,,0.28,0.0,0.911,197.211,0.0,93.0,25.0,3.0,33.5326398,-86.6205577,10.0,0.016,0.00016,20.0,0.0,0.0,-0.00016,0.0139,25.0,0.04905,-0.04905,0.96995,25.0,-1.63,1.18,0.24
1771711959.38,0,,0.3,0.0075,0.91,197.2155,0.0,93.0,25.0,3.0,33.5326398,-86.6205576,10.0,0.012,0.00002,20.0,0.0,0.0,-0.00002,0.012,25.0,0.04905,-0.04854,0.96995,25.0,-1.62,1.18,0.24
1771711959.4,0,,0.32,0.015,0.909,197.22,0.0,93.0,25.0,3.0,33.5326398,-86.6205575,10.0,0.008,0.00015,20.0,0.0,0.0,0.00012,0.0116,25.0,0.04905,-0.04803,0.96995,25.0,-1.61,1.18,0.24
1771711959.43,0,,0.35,0.015,0.90825,197.2335,0.0,93.0,25.0,3.0,33.5326398,-86.6205575,10.0,0.011,0.00035,20.0,0.0,0.0,0.00035,0.011,25.0,0.04905,-0.04803,0.96995,25.0,-1.6175,1.18,0.2475
1771711959.44,0,,0.36,0.015,0.908,197.238,0.0,93.0,25.0,3.0,33.5326398,-86.6205575,10.0,0.012,0.00041,20.0,0.0,0.0,0.00041,0.0136,25.0,0.04905,-0.04803,0.96995,25.0,-1.62,1.18,0.25
1771711959.48,0,,0.4,0.015,0.907,197.25,0.0,93.0,25.0,3.0,33.5326398,-86.6205575,10.0,0.024,0.00065,20.0,0.0,0.0,0.00065,0.024,25.0,0.04905,-0.04803,0.96995,25.0,-1.64,1.18,0.25
1771711959.52,0,,0.44,0.031,0.905,197.249,0.0,93.0,25.0,3.0,33.5326398,-86.6205573,10.0,0.008,0.00075,20.0,0.0,0.0,0.00075,0.0132,25.0,0.04803,-0.04905,0.96995,25.0,-1.62,1.17,0.24
1771711959.53,0,,0.45,0.031,0.90475,197.2495,0.0,93.0,25.0,3.0,33.5326398,-86.6205573,10.0,0.0105,0.00077,20.0,0.0,0.0,0.00077,0.0105,25.0,0.04803,-0.04905,0.96995,25.0,-1.6225,1.1725,0.24
1771711959.56,0,,0.48,0.031,0.904,197.251,0.0,93.0,25.0,3.0,33.5326398,-86.6205573,10.0,0.018,0.00088,20.0,0.0,0.0,0.00088,0.0168,25.0,0.04803,-0.04905,0.96995,25.0,-1.63,1.18,0.24
1771711959.58,0,,0.5,0.04,0.9035,197.2505,0.0,93.0,25.0,3.0,33.5326399,-86.6205573,10.0,0.021,0.00094,20.0,0.0,0.0,0.00094,0.021,25.0,0.04854,-0.04951,0.96995,25.0,-1.625,1.18,0.235
1771711959.6,0,,0.52,0.049,0.903,197.25,0.0,93.0,25.0,3.0,33.53264,-86.6205573,10.0,0.024,0.00092,20.0,0.0,0.0,0.00092,0.0216,25.0,0.04905,-0.04997,0.96995,25.0,-1.62,1.18,0.23
